year,period,periodName,latest,value,item
2021,M10,October,NA,0.808,Potatoes (pound)
2021,M09,September,NA,0.798,Potatoes (pound)
2021,M08,August,NA,0.797,Potatoes (pound)
2021,M07,July,NA,0.776,Potatoes (pound)
2021,M06,June,NA,0.769,Potatoes (pound)
2021,M05,May,NA,0.764,Potatoes (pound)
2021,M04,April,NA,0.774,Potatoes (pound)
2021,M03,March,NA,0.786,Potatoes (pound)
2021,M02,February,NA,0.762,Potatoes (pound)
2021,M01,January,NA,0.782,Potatoes (pound)
2020,M12,December,NA,0.749,Potatoes (pound)
2020,M11,November,NA,0.756,Potatoes (pound)
2020,M10,October,NA,0.802,Potatoes (pound)
2020,M09,September,NA,0.798,Potatoes (pound)
2020,M08,August,NA,0.856,Potatoes (pound)
2020,M07,July,NA,0.854,Potatoes (pound)
2020,M06,June,NA,0.854,Potatoes (pound)
2020,M05,May,NA,0.855,Potatoes (pound)
2020,M02,February,NA,0.786,Potatoes (pound)
2020,M01,January,NA,0.802,Potatoes (pound)
2019,M12,December,NA,0.780,Potatoes (pound)
2019,M11,November,NA,0.764,Potatoes (pound)
2019,M10,October,NA,0.785,Potatoes (pound)
2019,M09,September,NA,0.794,Potatoes (pound)
2019,M08,August,NA,0.786,Potatoes (pound)
2019,M07,July,NA,0.780,Potatoes (pound)
2019,M06,June,NA,0.743,Potatoes (pound)
2019,M05,May,NA,0.772,Potatoes (pound)
2019,M04,April,NA,0.749,Potatoes (pound)
2019,M03,March,NA,0.755,Potatoes (pound)
2019,M02,February,NA,0.751,Potatoes (pound)
2019,M01,January,NA,0.749,Potatoes (pound)
2024,M05,May,true,0.175,Electricity (kilowatt hour)
2024,M04,April,NA,0.173,Electricity (kilowatt hour)
