year,period,periodName,latest,value,item
2023,M08,August,NA,1.970,WHITE BREAD
2023,M07,July,NA,1.980,WHITE BREAD
2023,M06,June,NA,1.937,WHITE BREAD
2023,M05,May,NA,1.951,WHITE BREAD
2023,M04,April,NA,1.989,WHITE BREAD
2023,M03,March,NA,1.936,WHITE BREAD
2023,M02,February,NA,1.896,WHITE BREAD
2023,M01,January,NA,1.888,WHITE BREAD
2022,M12,December,NA,1.873,WHITE BREAD
2022,M11,November,NA,1.847,WHITE BREAD
2022,M10,October,NA,1.814,WHITE BREAD
2022,M09,September,NA,1.749,WHITE BREAD
2022,M08,August,NA,1.756,WHITE BREAD
2022,M07,July,NA,1.715,WHITE BREAD
2022,M06,June,NA,1.691,WHITE BREAD
2022,M05,May,NA,1.606,WHITE BREAD
2022,M04,April,NA,1.612,WHITE BREAD
2022,M03,March,NA,1.607,WHITE BREAD
2022,M02,February,NA,1.578,WHITE BREAD
2022,M01,January,NA,1.555,WHITE BREAD
2021,M12,December,NA,1.532,WHITE BREAD
2021,M11,November,NA,1.547,WHITE BREAD
2021,M10,October,NA,1.526,WHITE BREAD
2021,M09,September,NA,1.580,WHITE BREAD
2021,M08,August,NA,1.467,WHITE BREAD
2021,M07,July,NA,1.491,WHITE BREAD
2021,M06,June,NA,1.510,WHITE BREAD
2021,M05,May,NA,1.511,WHITE BREAD
2021,M04,April,NA,1.510,WHITE BREAD
2021,M03,March,NA,1.526,WHITE BREAD
2021,M02,February,NA,1.537,WHITE BREAD
2021,M01,January,NA,1.546,WHITE BREAD
2020,M12,December,NA,1.538,WHITE BREAD
2020,M11,November,NA,1.515,WHITE BREAD
2020,M10,October,NA,1.503,WHITE BREAD
2020,M09,September,NA,1.492,WHITE BREAD
2020,M08,August,NA,1.495,WHITE BREAD
2020,M07,July,NA,1.485,WHITE BREAD
2020,M06,June,NA,1.474,WHITE BREAD
2020,M05,May,NA,1.412,WHITE BREAD
2020,M04,April,NA,1.406,WHITE BREAD
2020,M03,March,NA,1.374,WHITE BREAD
2020,M02,February,NA,1.375,WHITE BREAD
2020,M01,January,NA,1.351,WHITE BREAD
2019,M12,December,NA,1.363,WHITE BREAD
2019,M11,November,NA,1.361,WHITE BREAD
2019,M10,October,NA,1.325,WHITE BREAD
2019,M09,September,NA,1.296,WHITE BREAD
2019,M08,August,NA,1.275,WHITE BREAD
2019,M07,July,NA,1.281,WHITE BREAD
2019,M06,June,NA,1.280,WHITE BREAD
2019,M05,May,NA,1.289,WHITE BREAD
2019,M04,April,NA,1.285,WHITE BREAD
2019,M03,March,NA,1.261,WHITE BREAD
2019,M02,February,NA,1.282,WHITE BREAD
2019,M01,January,NA,1.274,WHITE BREAD
2024,M09,September,true,3.821,DOZEN EGGS
2024,M08,August,NA,3.204,DOZEN EGGS
2024,M07,July,NA,3.080,DOZEN EGGS
2024,M06,June,NA,2.715,DOZEN EGGS
2024,M05,May,NA,2.699,DOZEN EGGS
2024,M04,April,NA,2.864,DOZEN EGGS
2024,M03,March,NA,2.992,DOZEN EGGS
2024,M02,February,NA,2.996,DOZEN EGGS
2024,M01,January,NA,2.522,DOZEN EGGS
2023,M12,December,NA,2.507,DOZEN EGGS
2023,M11,November,NA,2.138,DOZEN EGGS
2023,M10,October,NA,2.072,DOZEN EGGS
2023,M09,September,NA,2.065,DOZEN EGGS
2023,M08,August,NA,2.043,DOZEN EGGS
2023,M07,July,NA,2.094,DOZEN EGGS
2023,M06,June,NA,2.219,DOZEN EGGS
2023,M05,May,NA,2.666,DOZEN EGGS
2023,M04,April,NA,3.270,DOZEN EGGS
2023,M03,March,NA,3.446,DOZEN EGGS
2023,M02,February,NA,4.211,DOZEN EGGS
2023,M01,January,NA,4.823,DOZEN EGGS
2022,M12,December,NA,4.250,DOZEN EGGS
2022,M11,November,NA,3.589,DOZEN EGGS
2022,M10,October,NA,3.419,DOZEN EGGS
2022,M09,September,NA,2.902,DOZEN EGGS
2022,M08,August,NA,3.116,DOZEN EGGS
2022,M07,July,NA,2.936,DOZEN EGGS
2022,M06,June,NA,2.707,DOZEN EGGS
2022,M05,May,NA,2.863,DOZEN EGGS
2022,M04,April,NA,2.520,DOZEN EGGS
2022,M03,March,NA,2.046,DOZEN EGGS
2022,M02,February,NA,2.005,DOZEN EGGS
2022,M01,January,NA,1.929,DOZEN EGGS
2021,M12,December,NA,1.788,DOZEN EGGS
2021,M11,November,NA,1.718,DOZEN EGGS
2021,M10,October,NA,1.821,DOZEN EGGS
2021,M09,September,NA,1.835,DOZEN EGGS
2021,M08,August,NA,1.709,DOZEN EGGS
2021,M07,July,NA,1.642,DOZEN EGGS
2021,M06,June,NA,1.642,DOZEN EGGS
2021,M05,May,NA,1.625,DOZEN EGGS
2021,M04,April,NA,1.620,DOZEN EGGS
2021,M03,March,NA,1.625,DOZEN EGGS
2021,M02,February,NA,1.597,DOZEN EGGS
2021,M01,January,NA,1.466,DOZEN EGGS
2020,M12,December,NA,1.481,DOZEN EGGS
2020,M11,November,NA,1.450,DOZEN EGGS
2020,M10,October,NA,1.408,DOZEN EGGS
2020,M09,September,NA,1.353,DOZEN EGGS
2020,M08,August,NA,1.328,DOZEN EGGS
2020,M07,July,NA,1.401,DOZEN EGGS
2020,M06,June,NA,1.554,DOZEN EGGS
2020,M05,May,NA,1.640,DOZEN EGGS
2020,M04,April,NA,2.019,DOZEN EGGS
2020,M03,March,NA,1.525,DOZEN EGGS
2020,M02,February,NA,1.449,DOZEN EGGS
2020,M01,January,NA,1.461,DOZEN EGGS
2019,M12,December,NA,1.535,DOZEN EGGS
2019,M11,November,NA,1.405,DOZEN EGGS
2019,M10,October,NA,1.282,DOZEN EGGS
2019,M09,September,NA,1.383,DOZEN EGGS
2019,M08,August,NA,1.219,DOZEN EGGS
2019,M07,July,NA,1.243,DOZEN EGGS
2019,M06,June,NA,1.203,DOZEN EGGS
2019,M05,May,NA,1.362,DOZEN EGGS
2019,M04,April,NA,1.463,DOZEN EGGS
2019,M03,March,NA,1.544,DOZEN EGGS
2019,M02,February,NA,1.557,DOZEN EGGS
2019,M01,January,NA,1.554,DOZEN EGGS
2024,M09,September,true,5.173,COOKIES
2024,M08,August,NA,5.046,COOKIES
2024,M07,July,NA,5.102,COOKIES
2024,M06,June,NA,5.017,COOKIES
2024,M05,May,NA,5.124,COOKIES
2024,M04,April,NA,5.121,COOKIES
2024,M03,March,NA,5.145,COOKIES
2024,M02,February,NA,5.248,COOKIES
2024,M01,January,NA,5.019,COOKIES
2023,M12,December,NA,5.117,COOKIES
2023,M11,November,NA,5.044,COOKIES
2023,M10,October,NA,5.129,COOKIES
2023,M09,September,NA,5.113,COOKIES
2023,M08,August,NA,5.056,COOKIES
2023,M07,July,NA,5.091,COOKIES
2023,M06,June,NA,5.111,COOKIES
2023,M05,May,NA,5.153,COOKIES
2023,M04,April,NA,5.193,COOKIES
2023,M03,March,NA,5.234,COOKIES
2023,M02,February,NA,5.177,COOKIES
2023,M01,January,NA,5.058,COOKIES
2022,M12,December,NA,4.974,COOKIES
2022,M11,November,NA,4.942,COOKIES
2022,M10,October,NA,4.869,COOKIES
2022,M09,September,NA,4.796,COOKIES
2022,M08,August,NA,4.676,COOKIES
2022,M07,July,NA,4.654,COOKIES
2022,M06,June,NA,4.567,COOKIES
2022,M05,May,NA,4.505,COOKIES
2022,M04,April,NA,4.174,COOKIES
2022,M03,March,NA,4.147,COOKIES
2022,M02,February,NA,4.150,COOKIES
2022,M01,January,NA,4.223,COOKIES
2021,M12,December,NA,4.089,COOKIES
2021,M11,November,NA,3.999,COOKIES
2021,M10,October,NA,3.815,COOKIES
2021,M09,September,NA,3.981,COOKIES
2021,M08,August,NA,4.065,COOKIES
2021,M07,July,NA,4.065,COOKIES
2021,M06,June,NA,4.068,COOKIES
2021,M05,May,NA,4.019,COOKIES
2021,M04,April,NA,3.939,COOKIES
2021,M03,March,NA,3.964,COOKIES
2021,M02,February,NA,3.800,COOKIES
2021,M01,January,NA,3.669,COOKIES
2020,M12,December,NA,3.793,COOKIES
2020,M11,November,NA,3.767,COOKIES
2020,M10,October,NA,3.848,COOKIES
2020,M09,September,NA,3.659,COOKIES
2020,M08,August,NA,3.769,COOKIES
2020,M07,July,NA,3.696,COOKIES
2020,M06,June,NA,3.717,COOKIES
2020,M05,May,NA,3.617,COOKIES
2020,M04,April,NA,3.826,COOKIES
2020,M03,March,NA,3.633,COOKIES
2020,M02,February,NA,3.551,COOKIES
2020,M01,January,NA,3.525,COOKIES
2019,M12,December,NA,3.584,COOKIES
2019,M11,November,NA,3.603,COOKIES
2019,M10,October,NA,3.602,COOKIES
2019,M09,September,NA,3.587,COOKIES
2019,M08,August,NA,3.496,COOKIES
2019,M07,July,NA,3.468,COOKIES
2019,M06,June,NA,3.504,COOKIES
2019,M05,May,NA,3.352,COOKIES
2019,M04,April,NA,3.426,COOKIES
2019,M03,March,NA,3.311,COOKIES
2019,M02,February,NA,3.516,COOKIES
2019,M01,January,NA,3.466,COOKIES
2024,M09,September,true,8.148,STEAK
2024,M08,August,NA,8.226,STEAK
2024,M07,July,NA,8.059,STEAK
2024,M06,June,NA,7.927,STEAK
2024,M05,May,NA,8.247,STEAK
2024,M04,April,NA,8.110,STEAK
2024,M03,March,NA,8.031,STEAK
2024,M02,February,NA,7.883,STEAK
2024,M01,January,NA,8.106,STEAK
2023,M12,December,NA,7.994,STEAK
2023,M11,November,NA,7.862,STEAK
2023,M10,October,NA,7.987,STEAK
2023,M09,September,NA,7.774,STEAK
2023,M08,August,NA,7.646,STEAK
2023,M07,July,NA,7.664,STEAK
2023,M06,June,NA,7.430,STEAK
2023,M05,May,NA,7.511,STEAK
2023,M04,April,NA,7.345,STEAK
2023,M03,March,NA,7.179,STEAK
2023,M02,February,NA,7.218,STEAK
2023,M01,January,NA,7.272,STEAK
2022,M12,December,NA,7.061,STEAK
2022,M11,November,NA,7.159,STEAK
2022,M10,October,NA,7.173,STEAK
2022,M09,September,NA,7.184,STEAK
2022,M08,August,NA,7.201,STEAK
2022,M07,July,NA,7.131,STEAK
2022,M06,June,NA,7.318,STEAK
2022,M05,May,NA,7.438,STEAK
2022,M04,April,NA,7.266,STEAK
2022,M03,March,NA,7.324,STEAK
2022,M02,February,NA,7.489,STEAK
2022,M01,January,NA,7.378,STEAK
2021,M12,December,NA,7.342,STEAK
2021,M11,November,NA,7.404,STEAK
2021,M10,October,NA,7.304,STEAK
