SizeRank,RegionName,StateName,2020,2021,2022,2023,2024,2025
393,43026,OH,NA,NA,1446,1531,1603,1743
394,90640,CA,NA,NA,NA,2402,2490,2612
395,20874,MD,1492,1535,1732,1796,1913,1965
396,92020,CA,1596,1664,1899,2145,2302,2330
398,77396,TX,1396,1443,1602,1724,1735,1754
399,74012,OK,1172,1232,1419,1488,1569,1639
400,94501,CA,2542,2525,2638,2739,2736,2811
401,95127,CA,NA,NA,NA,NA,NA,2890
402,60638,IL,NA,NA,NA,NA,1574,1658
405,85345,AZ,1228,1370,1654,1673,1691,1735
406,34744,FL,1547,1659,2029,2181,2201,2269
407,78640,TX,1399,1449,1680,1747,1701,1661
408,90660,CA,NA,NA,NA,NA,NA,2226
409,21117,MD,1430,1472,1697,1727,1702,1803
410,95014,CA,3450,3117,3442,3717,3674,3856
411,77375,TX,1372,1445,1586,1703,1744,1804
412,11216,NY,2404,2186,2512,2844,2918,3017
413,89148,NV,1437,1564,1892,1835,1939,1975
414,92115,CA,2373,2445,2751,2996,3300,3406
415,43130,OH,NA,NA,922,1041,1134,1247
416,95828,CA,NA,NA,NA,NA,2221,2286
417,33178,FL,2084,2123,2780,3080,3047,3094
418,37129,TN,1353,1397,1575,1693,1750,1811
419,29681,SC,1331,1397,1570,1683,1734,1777
420,08854,NJ,1915,1965,2269,2415,2535,2637
421,10701,NY,1987,1983,2200,2303,2412,2559
421,19149,PA,NA,NA,1230,1367,1487,1586
423,10023,NY,3450,2900,3745,3985,4049,4316
424,37064,TN,1728,1780,2096,2201,2256,2316
425,93313,CA,NA,NA,NA,2150,2214,2352
426,07093,NJ,2270,2208,2342,2512,2683,2717
427,92571,CA,NA,NA,NA,2512,2646,2695
428,30331,GA,1303,1447,1652,1814,1876,1940
429,02155,MA,2367,2150,2545,2792,2970,3058
430,78745,TX,1268,1274,1595,1653,1593,1551
431,44060,OH,NA,NA,NA,NA,NA,1459
432,10950,NY,NA,NA,NA,NA,NA,2954
433,30144,GA,1275,1392,1708,1734,1747,1743
434,90019,CA,2233,2174,2383,2575,2545,2681
435,27703,NC,1373,1406,1625,1761,1778,1805
436,77077,TX,1167,1151,1324,1347,1354,1361
437,91702,CA,NA,NA,2165,2351,2514,2683
438,92324,CA,NA,NA,NA,1843,1775,1839
439,78253,TX,1303,1374,1573,1610,1576,1581
440,93291,CA,NA,NA,NA,1878,1980,2066
441,30101,GA,1420,1563,1847,1891,1971,1954
442,10033,NY,2236,2083,2262,2500,2541,2611
443,85033,AZ,NA,NA,NA,1415,1456,1491
444,06010,CT,NA,NA,1278,1276,1461,1541
445,29485,SC,1302,1326,1531,1673,1797,1789
446,75227,TX,NA,NA,NA,1552,1640,1740
447,11238,NY,2998,2751,3227,3530,3698,3734
448,37130,TN,1055,1129,1299,1451,1474,1498
449,28173,NC,1763,1898,2154,2316,2407,2412
450,78520,TX,NA,NA,NA,NA,1318,1540
451,20147,VA,1875,1890,2123,2246,2333,2496
452,48823,MI,NA,NA,NA,NA,1540,1711
453,75071,TX,1583,1698,2005,2086,2091,2078
454,23320,VA,1338,1407,1614,1669,1734,1833
455,95051,CA,2968,2669,2900,3085,3115,3261
456,92647,CA,2194,2214,2566,2722,2760,2845
457,07047,NJ,2092,2135,2269,2527,2942,2929
458,21122,MD,1764,1879,2083,2076,2286,2418
459,07002,NJ,1591,1649,1762,1910,2026,2166
460,11435,NY,NA,1683,1745,1840,1972,2210
461,78501,TX,NA,NA,NA,1081,1099,1109
462,10460,NY,NA,NA,NA,NA,NA,2325
463,07111,NJ,NA,NA,1518,1606,1802,1961
464,77406,TX,1402,1445,1725,1763,1813,1819
465,32825,FL,1418,1492,1820,1954,1957,2041
466,94568,CA,2678,2669,2836,2891,2914,3020
467,02151,MA,2139,2019,2226,2436,2578,2650
468,78504,TX,NA,NA,NA,1607,1662,1678
469,92530,CA,NA,NA,2057,2186,2193,2349
470,95111,CA,NA,NA,NA,3266,3330,3531
471,94122,CA,3115,2782,2976,3103,3114,3159
472,95355,CA,1587,1790,2017,2089,2113,2262
473,43230,OH,NA,1141,1236,1315,1378,1496
474,65203,MO,751,780,897,981,1057,1120
475,92071,CA,1990,2079,2459,2752,2866,2855
476,10031,NY,2312,2072,2299,2548,2587,2724
477,19720,DE,NA,NA,NA,1452,1549,1633
478,78251,TX,1064,1112,1268,1317,1251,1263
479,19134,PA,1031,1102,1201,1222,1308,1393
480,30083,GA,994,1102,1361,1460,1440,1475
481,73160,OK,1136,1186,1309,1377,1393,1479
482,79924,TX,NA,NA,NA,NA,1302,1354
483,60505,IL,NA,NA,NA,NA,NA,1661
484,80016,CO,1593,1582,1827,1918,2007,1979
485,90004,CA,2013,1960,2139,2239,2249,2301
486,37040,TN,973,1009,1208,1253,1308,1340
487,98208,WA,1596,1627,1853,1961,2003,2053
488,30906,GA,843,916,1050,1146,1202,1277
489,94087,CA,3006,2690,2970,3136,3192,3359
490,78664,TX,1296,1332,1608,1695,1742,1613
491,11225,NY,2421,2186,2463,2741,2960,2892
492,70726,LA,NA,NA,NA,1262,1349,1328
493,65807,MO,912,1008,1162,1272,1275,1347
494,92027,CA,1703,1809,NA,2104,2442,2701
495,22192,VA,1628,1685,1852,1960,2051,2166
496,43228,OH,NA,1000,1147,1261,1301,1331
497,78681,TX,1579,1656,1974,2106,2005,1992
498,91770,CA,NA,NA,NA,NA,2671,3003
499,10128,NY,2932,2412,3030,3320,3373,3532
500,85008,AZ,1011,1057,1357,1422,1419,1430
501,60453,IL,NA,NA,NA,1662,1715,1755
502,10473,NY,NA,NA,NA,NA,NA,2852
503,32771,FL,1265,1348,1649,1764,1781,1785
504,76137,TX,1328,1425,1621,1706,1752,1760
505,15601,PA,NA,NA,790,858,909,940
506,53215,WI,NA,NA,NA,851,946,953
507,92570,CA,NA,NA,NA,NA,NA,2794
508,30253,GA,1305,1516,1700,1865,1842,1866
509,21222,MD,NA,1270,1390,1530,1520,1645
510,90042,CA,2062,2134,2294,2528,2580,2677
511,92507,CA,1560,1682,1995,2131,2117,2233
512,83301,ID,NA,NA,NA,1497,1612,1618
513,77015,TX,NA,NA,1002,1008,1037,1138
514,30066,GA,1388,1539,1704,1843,1892,1944
515,80504,CO,1770,1787,1932,2032,2175,2173
516,92584,CA,NA,NA,2609,2806,2994,3046
517,19446,PA,1446,1518,1752,1824,1899,1962
518,22003,VA,1851,1810,1938,2218,2368,2525
519,77070,TX,1195,1227,1430,1458,1458,1491
519,22554,VA,1590,1705,1882,2032,2102,2242
521,37167,TN,1284,1378,1659,1705,1793,1757
522,28227,NC,1319,1466,1609,1798,1846,1875
523,60016,IL,1563,1578,1679,1803,1989,2102
524,55106,MN,997,1032,1069,1145,1154,1314
525,43055,OH,NA,NA,NA,1416,1491,1658
526,22030,VA,1861,1816,2023,2126,2232,2371
527,80634,CO,NA,1363,1528,1612,1597,1642
528,30016,GA,1273,1429,1699,1752,1845,1901
529,80525,CO,1338,1365,1531,1651,1707,1735
530,93436,CA,NA,NA,NA,2303,2243,2393
531,10009,NY,3014,2380,3262,3477,3564,3677
532,75115,TX,1395,1500,1713,1847,1913,2012
533,33511,FL,1365,1453,1734,1940,2015,2034
534,87111,NM,1127,1205,1472,1614,1614,1688
535,78526,TX,NA,NA,NA,NA,NA,1780
536,33142,FL,NA,NA,NA,2243,2291,2507
537,28314,NC,867,976,1216,1315,1349,1418
538,80631,CO,874,1078,1188,1275,1337,1425
539,55044,MN,NA,NA,NA,1784,1807,1872
540,78753,TX,1135,1103,1332,1455,1408,1334
541,29730,SC,NA,NA,NA,1463,1451,1502
542,78228,TX,1004,1053,1141,1277,1274,1486
542,78250,TX,1129,1184,1401,1475,1458,1405
544,76010,TX,NA,NA,1240,1287,1370,1386
545,33065,FL,1417,1506,1870,2091,2189,2234
546,27284,NC,NA,1266,1421,1561,1604,1729
547,02169,MA,1924,1841,2104,2278,2394,2469
548,23454,VA,1374,1508,1700,1844,1984,2026
549,23452,VA,1321,1441,1587,1788,1839,1910
550,85705,AZ,747,807,945,1024,1080,1126
551,08527,NJ,NA,NA,NA,NA,NA,3578
552,91732,CA,NA,NA,NA,NA,NA,2906
553,07728,NJ,NA,1908,2211,2387,2595,2722
554,33177,FL,1721,1819,2371,2576,2641,2738
555,78240,TX,1098,1124,1312,1325,1349,1327
556,80022,CO,1887,1985,2135,2215,2396,2457
