SizeRank,RegionName,StateName,2020,2021,2022,2023,2024,2025
348,Butler County,PA,1313,1349,1504,1594,1636,1709
349,Hernando County,FL,1158,1273,1583,1745,1855,1905
350,El Dorado County,CA,1790,2079,2238,2319,2436,2496
351,Saginaw County,MI,NA,NA,823,889,955,1024
352,Outagamie County,WI,NA,NA,1080,1178,1252,1333
353,Sarpy County,NE,1055,1095,1200,1327,1373,1444
354,Ellis County,TX,1389,1492,1672,1815,1821,1865
355,Tippecanoe County,IN,1036,1096,1173,1319,1448,1493
356,Beaufort County,SC,1349,1432,1787,1929,1993,2076
358,Litchfield County,CT,943,1113,1229,1341,1461,1663
359,Charlotte County,FL,1319,1425,1808,2036,1980,1980
360,Santa Rosa County,FL,1401,1514,1841,1957,1992,2014
361,Iredell County,NC,1240,1347,1539,1643,1675,1746
362,DeSoto County,MS,1204,1336,1554,1634,1647,1731
363,Newport News City,VA,1026,1114,1322,1383,1456,1503
364,Cass County,ND,894,905,958,1039,1096,1125
365,Peoria County,IL,756,812,863,975,1073,1114
366,Boone County,MO,805,832,951,1042,1123,1208
367,Kanawha County,WV,781,812,845,880,932,1001
368,Shasta County,CA,1126,1211,1349,1430,1471,1566
369,Ulster County,NY,1469,1732,1859,1996,1994,2057
370,Medina County,OH,1263,1362,1519,1632,1734,1789
371,Bay County,FL,1350,1394,1643,1670,1686,1702
372,Kent County,DE,1207,1306,1528,1653,1715,1743
373,Imperial County,CA,NA,NA,NA,NA,1697,1883
374,Vanderburgh County,IN,709,741,828,871,949,1007
375,Shawnee County,KS,787,819,912,994,1046,1118
376,Licking County,OH,1360,1482,1602,1762,1863,1962
377,Johnson County,TX,1321,1404,1572,1673,1744,1750
378,Washington County,UT,1370,1496,1701,1784,1796,1850
379,Muskegon County,MI,NA,NA,1035,1108,1161,1275
380,Scott County,IA,762,795,858,909,951,975
381,Porter County,IN,1145,1244,1383,1466,1551,1631
382,Lee County,AL,1100,1130,1238,1321,1413,1540
383,Carroll County,MD,1385,1467,1623,1720,1791,1909
384,Hendricks County,IN,1293,1375,1543,1640,1694,1803
385,McLean County,IL,879,891,1056,1176,1273,1356
386,Winnebago County,WI,759,815,864,952,1001,1060
387,Pitt County,NC,989,1039,1161,1304,1392,1460
388,Guadalupe County,TX,1454,1521,1706,1797,1783,1776
389,Kent County,RI,1353,1513,1770,1876,2007,2148
390,Alamance County,NC,845,946,1081,1214,1256,1355
391,Kenosha County,WI,1178,1209,1268,1423,1506,1620
392,Wyandotte County,KS,863,931,1031,1108,1166,1239
393,Kootenai County,ID,1198,1383,1655,1675,1700,1750
394,Kenton County,KY,1064,1135,1254,1380,1446,1523
395,Beaver County,PA,NA,921,972,999,1040,1101
396,Monroe County,PA,1106,1287,1475,1619,1738,1800
397,Aiken County,SC,911,1009,1127,1253,1311,1400
398,Davidson County,NC,NA,1036,1164,1264,1335,1504
399,Pueblo County,CO,994,1097,1222,1308,1328,1348
400,Chittenden County,VT,1397,1520,1657,1855,1968,2058
401,Greene County,OH,1119,1192,1308,1415,1515,1601
402,Midland County,TX,1535,1276,1240,1472,1570,1612
403,Paulding County,GA,1381,1552,1745,1873,1890,1950
404,Charles County,MD,1741,1873,2069,2149,2206,2342
405,Maui County,HI,NA,2310,3145,3473,3522,3825
405,Middlesex County,CT,1325,1451,1570,1681,1752,1937
407,Yellowstone County,MT,936,1015,1150,1272,1323,1352
408,Rock County,WI,NA,NA,920,968,1031,1118
409,Portage County,OH,1082,1162,1258,1379,1474,1547
410,Hampshire County,MA,NA,1668,1850,2113,2179,2270
411,Ector County,TX,1405,1214,1200,1428,1519,1527
412,Houston County,GA,1034,1114,1304,1426,1518,1587
413,Dorchester County,SC,1230,1261,1453,1593,1696,1721
414,Rensselaer County,NY,1009,1090,1153,1233,1272,1409
415,Olmsted County,MN,1319,1328,1442,1538,1557,1656
416,Jackson County,MI,706,754,838,947,990,1085
417,Ouachita Parish,LA,NA,NA,NA,897,902,939
418,Saint Clair County,MI,NA,NA,NA,1023,1099,1154
419,Johnson County,IN,1219,1314,1442,1529,1626,1697
420,Catawba County,NC,NA,NA,1260,1404,1431,1482
421,Centre County,PA,1343,1371,1487,1547,1670,1700
422,Alexandria City,VA,1864,1767,1963,2017,2106,2230
423,Indian River County,FL,1421,1584,2010,2140,2330,2391
424,Martin County,FL,1543,1666,2137,2272,2363,2391
425,Sullivan County,TN,NA,NA,NA,1204,1272,1365
426,Stearns County,MN,983,1030,1153,1199,1226,1305
427,Fairfield County,OH,1304,1363,1544,1660,1754,1872
428,Schenectady County,NY,1010,1012,1148,1207,1302,1370
429,Bibb County,GA,814,897,1027,1088,1147,1193
430,Madera County,CA,NA,NA,NA,2055,2191,2253
431,Comal County,TX,1293,1362,1561,1610,1626,1578
432,Rankin County,MS,1189,1221,1337,1433,1485,1624
434,Franklin County,PA,897,972,1101,1174,1256,1337
435,Cumberland County,NJ,NA,NA,NA,NA,1566,1652
436,Mesa County,CO,1109,1195,1357,1455,1488,1631
437,Columbia County,GA,1171,1261,1437,1514,1578,1666
438,Berrien County,MI,931,966,1061,1166,1214,1336
439,Stafford County,VA,1563,1667,1868,1980,2096,2245
440,Monroe County,MI,NA,NA,1235,1260,1353,1403
441,Washington County,MD,903,979,1136,1278,1303,1374
442,Santa Fe County,NM,1489,1546,1777,1942,2006,2074
443,Merrimack County,NH,NA,NA,NA,1628,1730,1930
444,Penobscot County,ME,1016,1079,1250,1348,1432,1504
445,Citrus County,FL,1057,1162,1391,1500,1607,1697
446,Kings County,CA,NA,NA,NA,1707,1727,1806
447,Johnson County,IA,1053,1074,1130,1177,1222,1279
448,Canadian County,OK,1240,1295,1429,1457,1520,1578
449,Tolland County,CT,1470,1662,1849,2000,2152,2257
450,Scott County,MN,1430,1473,1567,1662,1740,1776
451,Sandoval County,NM,1235,1335,1537,1704,1818,1888
452,Orange County,NC,1232,1328,1464,1597,1635,1717
453,Rowan County,NC,NA,NA,1093,1206,1257,1316
454,Sussex County,NJ,NA,NA,NA,1792,2017,2155
455,Coweta County,GA,1234,1317,1639,1716,1776,1797
